2021-04-25 10:26:01,973 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 22:46:08,723 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 60 ms.
2021-04-25 22:46:09,331 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 22:46:09,456 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 22:46:09,467 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:46:09,542 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:46:09,555 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:46:09,578 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 22:46:09,603 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:46:09,606 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:46:09,632 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:46:09,640 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:46:09,646 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:46:09,671 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:46:09,673 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:46:09,687 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:46:09,703 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:46:09,708 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:46:09,721 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:46:09,725 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:46:09,731 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:04:33,287 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 23:04:33,447 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 137 ms.
2021-04-25 23:04:34,254 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 23:04:34,380 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 23:04:34,415 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 23:04:34,443 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:04:34,499 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:04:34,506 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:04:34,535 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 23:04:34,604 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:04:34,607 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 23:04:34,631 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 23:04:34,640 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 23:04:34,647 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 23:04:34,661 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:04:34,663 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 23:04:34,668 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:04:34,672 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:04:34,674 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:04:34,679 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:04:34,681 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 23:04:34,683 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:14:44,843 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 23:14:44,908 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 61 ms.
2021-04-25 23:14:45,506 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 23:14:45,599 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 23:14:45,628 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 23:14:45,645 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:14:45,716 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:14:45,722 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:14:45,732 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 23:14:45,748 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 23:14:45,781 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:14:45,784 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 23:14:45,799 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 23:14:45,808 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 23:14:45,814 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 23:14:45,823 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:14:45,833 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 23:14:45,843 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:14:45,853 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:14:45,857 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:14:45,866 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:14:45,873 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 23:14:45,888 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:16:17,612 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 23:16:17,682 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 65 ms.
2021-04-25 23:16:18,330 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 23:16:18,421 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 23:16:18,456 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 23:16:18,469 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:16:18,527 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:16:18,534 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:16:18,542 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 23:16:18,556 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 23:16:18,591 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:16:18,595 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 23:16:18,621 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 23:16:18,634 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 23:16:18,645 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 23:16:18,663 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:16:18,675 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 23:16:18,686 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:16:18,691 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 23:16:18,696 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:16:18,702 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:16:18,725 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 23:16:18,737 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 23:57:36,716 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 23:57:36,836 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 105 ms.
2021-04-25 23:57:37,498 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:57:38,243 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 23:57:38,302 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:57:38,349 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:57:38,391 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:57:38,397 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:57:38,411 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 23:57:38,423 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
